mua,mus
0.005,2.0
0.00564419,2.0
0.00637137,2.0
0.00719225,2.0
0.00811888,2.0
0.0091649,2.0
0.0103457,2.0
0.0116786,2.0
0.0131833,2.0
0.0148818,2.0
0.0167991,2.0
0.0189635,2.0
0.0214067,2.0
0.0241647,2.0
0.027278,2.0
0.0307924,2.0
0.0347596,2.0
0.039238,2.0
0.0442933,2.0
0.05,2.0
0.005,2.18239
0.00564419,2.18239
0.00637137,2.18239
0.00719225,2.18239
0.00811888,2.18239
0.0091649,2.18239
0.0103457,2.18239
0.0116786,2.18239
0.0131833,2.18239
0.0148818,2.18239
0.0167991,2.18239
0.0189635,2.18239
0.0214067,2.18239
0.0241647,2.18239
0.027278,2.18239
0.0307924,2.18239
0.0347596,2.18239
0.039238,2.18239
0.0442933,2.18239
0.05,2.18239
0.005,2.38142
0.00564419,2.38142
0.00637137,2.38142
0.00719225,2.38142
0.00811888,2.38142
0.0091649,2.38142
0.0103457,2.38142
0.0116786,2.38142
0.0131833,2.38142
0.0148818,2.38142
0.0167991,2.38142
0.0189635,2.38142
0.0214067,2.38142
0.0241647,2.38142
0.027278,2.38142
0.0307924,2.38142
0.0347596,2.38142
0.039238,2.38142
0.0442933,2.38142
0.05,2.38142
0.005,2.5986
0.00564419,2.5986
0.00637137,2.5986
0.00719225,2.5986
0.00811888,2.5986
0.0091649,2.5986
0.0103457,2.5986
0.0116786,2.5986
0.0131833,2.5986
0.0148818,2.5986
0.0167991,2.5986
0.0189635,2.5986
0.0214067,2.5986
0.0241647,2.5986
0.027278,2.5986
0.0307924,2.5986
0.0347596,2.5986
0.039238,2.5986
0.0442933,2.5986
0.05,2.5986
0.005,2.83558
0.00564419,2.83558
0.00637137,2.83558
0.00719225,2.83558
0.00811888,2.83558
0.0091649,2.83558
0.0103457,2.83558
0.0116786,2.83558
0.0131833,2.83558
0.0148818,2.83558
0.0167991,2.83558
0.0189635,2.83558
0.0214067,2.83558
0.0241647,2.83558
0.027278,2.83558
0.0307924,2.83558
0.0347596,2.83558
0.039238,2.83558
0.0442933,2.83558
0.05,2.83558
0.005,3.09418
0.00564419,3.09418
0.00637137,3.09418
0.00719225,3.09418
0.00811888,3.09418
0.0091649,3.09418
0.0103457,3.09418
0.0116786,3.09418
0.0131833,3.09418
0.0148818,3.09418
0.0167991,3.09418
0.0189635,3.09418
0.0214067,3.09418
0.0241647,3.09418
0.027278,3.09418
0.0307924,3.09418
0.0347596,3.09418
0.039238,3.09418
0.0442933,3.09418
0.05,3.09418
0.005,3.37636
0.00564419,3.37636
0.00637137,3.37636
0.00719225,3.37636
0.00811888,3.37636
0.0091649,3.37636
0.0103457,3.37636
0.0116786,3.37636
0.0131833,3.37636
0.0148818,3.37636
0.0167991,3.37636
0.0189635,3.37636
0.0214067,3.37636
0.0241647,3.37636
0.027278,3.37636
0.0307924,3.37636
0.0347596,3.37636
0.039238,3.37636
0.0442933,3.37636
0.05,3.37636
0.005,3.68427
